provincia_nombre,casos,prop_masc,prop_joven,edad_media,anio,mes,region,cluster_territorial,perfil_dominante,lag1,lag2,lag3,roll3_mean,roll3_std,umbral_alerta,alerta
Catamarca,8,0.625,0.5,33.875,2020,2,NOA,2,1,2.0,4.0,2.0,2.6666666666666665,1.1547005383792517,4.600000000000001,1
Catamarca,2,0.5,0.0,47.0,2020,3,NOA,2,1,8.0,2.0,4.0,4.666666666666667,3.055050463303893,4.600000000000001,0
Catamarca,3,1.0,0.6666666666666666,37.0,2020,4,NOA,2,1,2.0,8.0,2.0,4.0,3.4641016151377544,4.600000000000001,0
Catamarca,1,1.0,0.0,32.0,2020,5,NOA,2,1,3.0,2.0,8.0,4.333333333333333,3.214550253664318,4.600000000000001,0
Catamarca,4,0.75,0.25,40.75,2020,6,NOA,2,1,1.0,3.0,2.0,2.0,0.9999999999999989,4.600000000000001,0
Catamarca,3,1.0,0.6666666666666666,38.666666666666664,2020,7,NOA,2,1,4.0,1.0,3.0,2.6666666666666665,1.527525231651946,4.600000000000001,0
Catamarca,6,0.8333333333333334,0.8333333333333334,22.833333333333332,2020,8,NOA,2,1,3.0,4.0,1.0,2.6666666666666665,1.527525231651946,4.600000000000001,1
Catamarca,3,1.0,0.3333333333333333,53.666666666666664,2020,9,NOA,2,1,6.0,3.0,4.0,4.333333333333333,1.5275252316519465,4.600000000000001,0
Catamarca,5,0.8,0.4,35.0,2020,10,NOA,2,1,3.0,6.0,3.0,4.0,1.732050807568877,4.600000000000001,1
Catamarca,4,0.75,0.75,30.75,2020,11,NOA,2,1,5.0,3.0,6.0,4.666666666666667,1.5275252316519463,4.600000000000001,0
Catamarca,6,0.8333333333333334,0.3333333333333333,35.333333333333336,2020,12,NOA,2,1,4.0,5.0,3.0,4.0,0.9999999999999996,4.600000000000001,1
Catamarca,3,0.6666666666666666,0.6666666666666666,28.666666666666668,2021,1,NOA,2,1,6.0,4.0,5.0,5.0,0.9999999999999996,4.600000000000001,0
Catamarca,6,1.0,0.5,40.333333333333336,2021,2,NOA,2,1,3.0,6.0,4.0,4.333333333333333,1.5275252316519463,4.600000000000001,1
Catamarca,6,0.6666666666666666,0.5,35.333333333333336,2021,3,NOA,2,1,6.0,3.0,6.0,5.0,1.732050807568877,4.600000000000001,1
Catamarca,0,0.7865730869462212,0.5363657900971334,35.32364960909737,2021,4,NOA,2,1,6.0,6.0,3.0,5.0,1.732050807568877,4.600000000000001,0
Catamarca,4,0.5,1.0,15.75,2021,5,NOA,2,1,0.0,6.0,6.0,4.0,3.4641016151377544,4.600000000000001,0
Catamarca,3,1.0,0.3333333333333333,30.333333333333332,2021,6,NOA,2,1,4.0,0.0,6.0,3.3333333333333335,3.0550504633038935,4.600000000000001,0
Catamarca,5,1.0,0.6,41.0,2021,7,NOA,2,1,3.0,4.0,0.0,2.3333333333333335,2.081665999466133,4.600000000000001,1
Catamarca,3,1.0,0.6666666666666666,27.0,2021,8,NOA,2,1,5.0,3.0,4.0,4.0,1.0,4.600000000000001,0
Catamarca,3,0.6666666666666666,0.6666666666666666,35.333333333333336,2021,9,NOA,2,1,3.0,5.0,3.0,3.6666666666666665,1.1547005383792515,4.600000000000001,0
Catamarca,5,0.8,0.6,28.0,2021,10,NOA,2,1,3.0,3.0,5.0,3.6666666666666665,1.1547005383792515,4.600000000000001,1
Catamarca,2,1.0,1.0,19.5,2021,11,NOA,2,1,5.0,3.0,3.0,3.6666666666666665,1.1547005383792517,4.600000000000001,0
Catamarca,3,0.0,0.3333333333333333,32.0,2021,12,NOA,2,1,2.0,5.0,3.0,3.3333333333333335,1.5275252316519468,4.600000000000001,0
Catamarca,3,0.6666666666666666,0.3333333333333333,27.0,2022,1,NOA,2,1,3.0,2.0,5.0,3.3333333333333335,1.5275252316519468,4.600000000000001,0
Catamarca,6,1.0,0.0,43.666666666666664,2022,2,NOA,2,1,3.0,3.0,2.0,2.6666666666666665,0.5773502691896266,4.600000000000001,1
Catamarca,1,1.0,1.0,27.0,2022,3,NOA,2,1,6.0,3.0,3.0,4.0,1.7320508075688772,4.600000000000001,0
Catamarca,4,1.0,0.25,48.25,2022,4,NOA,2,1,1.0,6.0,3.0,3.3333333333333335,2.516611478423583,4.600000000000001,0
Catamarca,1,0.0,0.0,42.0,2022,5,NOA,2,1,4.0,1.0,6.0,3.6666666666666665,2.516611478423583,4.600000000000001,0
Catamarca,6,0.3333333333333333,0.5,33.666666666666664,2022,6,NOA,2,1,1.0,4.0,1.0,2.0,1.732050807568877,4.600000000000001,1
Catamarca,6,0.8333333333333334,0.6666666666666666,24.5,2022,7,NOA,2,1,6.0,1.0,4.0,3.6666666666666665,2.516611478423583,4.600000000000001,1
Catamarca,4,1.0,0.5,44.5,2022,8,NOA,2,1,6.0,6.0,1.0,4.333333333333333,2.8867513459481287,4.600000000000001,0
Catamarca,7,0.5714285714285714,0.5714285714285714,32.0,2022,9,NOA,2,1,4.0,6.0,6.0,5.333333333333333,1.1547005383792515,4.600000000000001,1
